16783,215,21
"Bye bye Trump election and his Medicare. I had seen a lot of Brazilians that are living in the USA for years complaining about the Brazilian universal health system (similar NHS) against the private USA model. Nowadays, they are asking for Brazilian government rescue in the USA jurisdiction. The world will change, a lot of people will need of the government support in the same manner of China have done, we will experience a real change in the relationship between government and citizens.",0.6369,0
Muss une krieg gegenuber China China comuniste lands danger in welt chade u s america,-0.5267,0
"Corona in US. 
Best Meme for Coffin Dance.",0.6369,0
people need to wear more protective gear like masks & gloves there are still suppliers in the US like corona-hygiene.com with KN95 and reusable masks & more I don't get it are people to ignorant to wear them ?🤔,0.5311,0
The so call 'richest' country in the world with a profit based health care system designed for the wealthy and not for the working poor and struggling middle class.,0.4019,0
Redistribute wealth,0.4939,0
"Trump is a complete unrelenting idiot. 
So embarrassed that he’s our president.",-0.7264,0
"Because USA goverment want it to happen refusing to adopt successfully systems(South Korea, Taiwan or Germany)that control coronavirus without lockdown or destroying the economy.",0.6623,2
NHS is brilliant 👏,0.5859,1
"Weight loss reported the world over. Rice, porridge oats, powdered milk, bread (only unfreeze what you need), tinned anything, frozen vegetables. Learning how to live like Earth's poor will assist you very well indeed. (UK)",-0.1298,0
Successful Covid-19 vaccination = normality restored. Nothing else will do it. (UK),0.7351,0
American middle class Gone. This is what happens when you sleep.,0.0,5
There’s no money - go away,-0.296,1
The next bestselling cookbook will be: Recipes with Rat,0.0,1
"Is it just me, or does the media seem to be enjoying this situation?",0.5267,0
Which means they have no choice but join the military for thier livelihood.,0.5267,1
"""17 million people unemploed in just 4 weeks"".
Who is gonna pay this bill? Who is gonna do smt about this? Is it rigth a country spread out death all over the world and not be blamed?
CCP virus is killing thousands of people all over the world. Our loved ones is dying without any honnor.",-0.584,1
This report had virtually nothing to do with unemployment.,-0.4404,2
"You are a brainwashed moron and I can prove it . 1)You believe that
(on 911) some cave dwellers with muskets were able to outsmart the
planets most sophisticated defence system and two planes made 3
buildings (dont forget building 7 like the commission report did)
collapse at free fall speed and dustify everything , leave pools of
molton steel and have a paper passport magically found in the dust .
2) You believe Bill Gates is a good guy who gives millions to charity
( that is peanuts to him and it pails against the billions he is
going to make from his magic vaccine that by the way not only
contains aborted human fetal tissue , toxins , but as a free bonus
this time will contain HYPER GEL with sensors to track and monitor
c/o D.A.R.P.A. ) Here’s a fact : NAUGHTY
BILLY forgot to tell you what the vaccine insert 13 says for every
vaccine :""THIS VACCINE HAS NOT BEEN TESTED FOR CARCINOGENIC
POTENTIAL , MUTAGENIC POTENTIAL AND IMPAIRMENT OF FERTILITY "" In
basic English If you get CANCER , TERMINAL ILLNESS THROUGH GENE
MUTATION OR CANNOT HAVE BABIES as a direct result of Billy's little
vaccine . There is legally nothing you can do .Billy gets his
billions and reduces population double wammy ! You dont think he
wants to ? “The
world today has 6.8 billion people. That's heading up to about nine
billion. Now if we do a really great job on new vaccines, health care
& reproductive health services, we could LOWER that by perhaps 10
or 15 percent.”

― Bill
Gates
Don’t trust me watch the TED TALK . Listen I could go on forever
but here’s the deal :There is a video that has been banned /
deleted  by youtube and vimeo . You need to ask yourself 3 questions
1)
Why
are they so scared people see it if it doesn’t credibly
threaten their narrative?
2)
Am I A PATHETIC SCARED CHILD IN ADULT SKIN who needs to be protected
by big brother and told what I am allowed or not allowed to watch? 3)
Am I a free thinking curious adult open to both sides of the story ?
You can’t turn back now you have a choice BE A RESPONSIBLE  ADULT
OR A PATHETIC SUBSERVIENT  BABY . Be careful now 
one of these choices will lead to regret , tears pain and suffering
of millions the other will help avoid it . You
have been warned Are you really prepared to gamble that
I am not doing God’s work and and that instead  I am just a
“conspiracy nutter”

when
all that was needed was a few minutes of your life ? This
could well be the most important decision of your life.WORD
      watch here the banned london real interview :
https://www.davidicke.com",-0.949,0
This economic crisis in USA and Europe would rise up a new empire: CHINA.,-0.6249,9
They need to build a wall to keep this foreign plague out of their borders and protect American jobs. America First. Jesus instructions Last.,0.3818,0
"USA
Total Deaths
16,267 ! !",0.0,1
This man had 13 cardiac arrests in 16 hours. He must be feeling a bit under the weather by now,-0.34,5
David Icke is RIGHT.,0.0,2
"Trump is right, the situation doesn't seem that bad, especially if you don't work in the health system.",0.431,1
That's worse than the collapse of the Soviet Union.,-0.743,2
Usa abused on many innocent animals that's why this is happening 😆🙏🙏😆😆🙏,-0.2263,4
why aren't these people receiving  hydroxychloroquine with zinc,0.0,0
America First= the most coronavirus cases in the world,0.0,24
All negative comments about America or Trump are from bots with fake YouTube accounts. Tap their icon and see for yourself.,-0.7783,1
"Liberties are being hit and restricted by Chinese communist party, we have to think about it, which is a basis right to human being. Also, all of the media in China are under control of the propaganda department of Chinese communist party, the missions of media are delivering the fake news and distorting the truth to their citizen for brain washing that is the nature of the autocracy and that is reason why they wont post real data to other government for fighting the novel coronavirus. How bad Western governments to deal with this disaster, but, we have to think is that at least number of dearth toll and confirmed case can be believed because they are monitored by journalists, opposition party and citizen.",-0.6295,0
"I WONDER how many people trying to get unemployment this time can qualify ?? I got it a couple times many yrs, ago and there were rules about who qalified , I couldnt just go in and say I lost my job or that I  couldnt get a job .  The employer has to be paying unemployment or something in,on your paycheck or something .",-0.8156,0
"I hope this pandemic will lead to a better, more just America. Start by getting rid of Wall Street Financial Speculation viruses that distort economics and transfer all companies dividends to the employees in equal proportion.",0.5423,15
"Good luck with that, as Trump *The IDIOT KING* and his mob of *CORRUPT REPUBLICAN CRONIES* are more concerned with providing financial aid to Big Business Corporations and the Mega-Rich; than these sociopaths are with the common people.
... ...
All of these American deaths can be laid squarely at the feet of the *IDIOT KING* Donald J Trump; as hr and his *MORON REPUBLICAN CRONIES* was warned multiple times by their Intelligence Agencies, in November - December and January; and yet the *TRUMPTARDS* willfully choose to ignore the pandemic coming.",0.0943,0
17 million lost health insurances in a pandemic ?,-0.3182,18
Trumps corona hoax.,-0.2732,2
America first make America great again,0.6249,7
I am sorry for the millions that have to die of the America Virus.,-0.6369,3
China must pay a price for this mess.,-0.5065,3
"Pandemic or not....

Pulling her hair would be sweet!

She's hot.",0.5093,0
These HealthCare Workers Deserve So Much Praise For The Awesome Work that they are doing! Lots of Love and Respect for them!!!♥️,0.9548,8
"NEWS AND REPORTS SURFACE...!!!
TRUMP'S MULTI TRILLION RESCUE PACKAGE...
WERE ONLY MEANT TO SAVE THE STOCK MARKET...
TO SAVE THE RICH AND ELITES AT THE TOP...WHERE TRUMP IS
THE POOR AND THE DYING ONES...
GO HOME AND GET QUIET...JUST LIKE THOSE IN 2019 !!!

WHEN WILL AMERICANS EVER LEARN THE TRUTH ???
OR ARE THEY...NOT ABLE TO HANDLE THE TRUTH !!!",0.9761,0
"Millions out of work in the UK as well  ! !  I work at a place that builds aircraft service parts for the NHS, RAF, army, navy and other  all the above are using aircraft in the fight against Corona to try and save people yet we all had our hours cut by two days every week from last week ! ! With all the shops and other closed because of the lock down how long before the UK or other run out of money for the NHS and everything else ?? This could take the next 50 years to pay back ??",0.5152,3
unless we have an immunisation either an antidote or we recover from having had covid how can we go back to a normal life .,0.0,6
Didn’t Cuomo get caught hiding medical supplies in a warehouse 🤔,-0.296,2
2nd largest YouTube live stream deleted within minutes on London Real with David Icke interview this virus is not real it's the 5g,0.0,3
Government tells people not to leave their house. Unemployment sky rockets. Capitalism blamed.,-0.7052,5
"Don’t allow the mass hysteria of fear perpetuated daily by the MSM to control you. The virus has a mortality rate of only 1.4%. This year alone there have been 111,000 deaths from the seasonal flu worldwide and over 3.3 MILLION deaths from January 1, 2020 from communicable diseases worldwide. Unbridled fear and hysteria are the enemy - not this virus. 

https://youtu.be/Ch-PtCIj_N4",-0.9545,1
USA about to implode in every way 😬,0.0,32
you only get the support when you register afaik so no wonder there's lines,-0.0429,1
Americans dait like this?,0.3612,0
That's a lot of money.  Why do they seem to have such deep pockets?,0.0,2
Trump not good and we see America is not strong 💪 in the world 🌍 where's seance men 👬,-0.6259,1
"NOT MY FAULT : TRUMP 
MURDERER !!!!",-0.6908,0
"Trump's glorious economy, huh?

And yes, I know what you're about to say. ""It's not Trump's fault that Coronavirus happened."" True, true. But then, he never hesitated to take credit for the great economy he inherited from Obama. So either he takes both the credit and the blame - or he takes neither - in which case, what do you have left of his Presidency? A handful of hyper-Conservative misogynist judges, and a widespread rollback of environmental protections? 

Well yippee-ki-yay.",0.9757,35
great content dude,0.6249,2
Just finished clapping for the NHS :),0.4588,24
"This is horrible!! How is this possible?!?! What kind of a shitty system is this?! Horrible, incompetent, abandonment of it's people, hoarding riches with a handfull of people..... Horrible!",-0.9648,0
Wowww. America being lead by a stubborn president. This is why it still not be over soon in America. Lucky I’m in the UK. It has much better control,0.4588,10
